// Auto-generated: 50 orders, seed=42+50
// total demand = 2154, giant order = 522 > Cp = 483 (forced split)
// picking cap = 2415 (12.1% margin) | pod flow = 2808 | repl = 2928
I = 10;
o = 50;
g = 16;
p = 3;
np = 5;
nr = 4;
C = 156;
Cp = 483;
Cr = 122;
w = 6;
se = 3;
demand = [
[53 53 52 52 52 52 52 52 52 52]
[5 2 8 0 2 6 0 3 3 3]
[8 3 3 2 7 0 3 0 0 0]
[8 7 5 2 1 3 5 2 0 8]
[5 3 4 8 3 1 0 0 6 2]
[3 6 2 0 7 4 4 7 5 0]
[0 7 7 3 2 6 0 7 0 0]
[1 0 4 3 8 4 6 7 2 0]
[7 1 6 4 5 4 6 4 7 7]
[4 8 5 0 5 0 0 8 8 4]
[6 7 5 0 1 1 1 0 0 2]
[0 4 0 1 0 1 4 1 5 1]
[0 3 8 0 1 2 7 8 1 8]
[3 4 8 7 0 5 1 4 4 6]
[7 7 0 7 5 0 6 3 1 3]
[3 2 8 0 0 6 6 4 3 7]
[6 2 2 7 0 3 8 0 5 0]
[5 5 8 5 0 0 5 0 6 0]
[0 0 1 1 6 5 0 3 4 8]
[4 1 0 3 0 3 8 8 5 6]
[8 0 3 4 0 8 1 2 1 5]
[0 6 2 5 7 3 4 4 4 2]
[2 5 6 6 4 4 3 2 0 4]
[2 8 8 3 5 3 1 2 3 0]
[3 3 3 5 3 4 1 7 7 2]
[8 3 4 8 6 3 0 4 5 0]
[7 4 7 2 5 7 6 7 0 0]
[8 2 2 2 2 5 0 4 6 0]
[3 5 6 5 0 3 8 1 4 3]
[0 4 7 4 1 4 0 6 0 7]
[2 0 5 6 0 0 5 0 0 0]
[0 5 0 0 2 0 4 0 2 4]
[3 6 5 1 0 5 4 4 6 3]
[2 6 0 0 3 4 0 0 2 3]
[1 6 0 4 2 7 8 7 2 1]
[4 0 0 0 0 5 0 5 8 0]
[0 4 0 2 8 0 0 1 7 5]
[0 6 1 1 0 0 0 4 0 0]
[2 1 2 7 2 2 7 1 7 0]
[8 8 2 2 3 0 4 4 0 4]
[2 6 3 0 3 0 6 1 7 7]
[6 1 6 5 2 2 1 5 3 7]
[4 1 8 0 0 3 0 3 4 1]
[7 0 4 0 4 2 1 0 0 5]
[8 2 4 0 7 0 7 2 0 1]
[6 1 5 3 5 8 3 7 0 8]
[7 0 7 3 8 0 7 4 0 6]
[7 6 1 0 2 0 2 0 8 8]
[6 3 3 2 3 4 6 6 0 3]
[0 6 6 1 8 7 7 0 4 1]
];
t = [7 12 17 22 27 32];
d = [5 5 5 5 5 5];
