// Auto-generated: 70 orders, seed=42+70
// total demand = 2973, giant order = 600 > Cp = 555 (forced split)
// picking cap = 3330 (12.0% margin) | pod flow = 3870 | repl = 4032
I = 10;
o = 70;
g = 23;
p = 3;
np = 6;
nr = 4;
C = 215;
Cp = 555;
Cr = 168;
w = 6;
se = 3;
demand = [
[60 60 60 60 60 60 60 60 60 60]
[5 7 3 8 0 4 8 4 0 3]
[6 7 2 0 0 2 1 0 0 8]
[5 7 3 7 0 2 0 3 4 3]
[6 2 6 0 8 3 1 1 6 8]
[4 2 0 7 2 0 4 7 1 6]
[1 5 1 8 5 6 1 3 5 8]
[7 8 7 8 0 5 4 8 0 8]
[0 1 5 0 0 4 6 3 7 7]
[7 0 4 8 2 4 2 2 0 6]
[0 0 6 0 4 2 0 6 2 4]
[0 4 7 0 0 5 8 1 7 0]
[2 0 5 6 2 1 4 0 0 6]
[1 2 8 4 2 6 8 5 5 4]
[0 3 8 2 5 7 8 1 0 0]
[6 6 8 8 3 6 7 0 0 3]
[0 6 8 0 5 0 5 8 0 8]
[7 0 4 4 0 4 2 4 6 6]
[4 6 3 0 5 6 5 0 0 0]
[0 2 6 1 1 2 2 1 1 3]
[6 0 7 7 4 6 1 3 3 7]
[3 4 6 2 1 4 2 0 2 7]
[6 0 0 1 0 8 5 4 2 4]
[6 2 1 7 0 6 4 8 7 7]
[3 1 1 4 0 1 1 2 7 5]
[4 0 6 2 7 8 6 0 4 0]
[6 0 1 2 7 3 3 1 8 7]
[0 5 0 0 1 8 0 1 5 3]
[0 1 6 2 0 5 3 0 0 3]
[2 0 0 2 4 6 6 6 1 0]
[8 7 0 7 0 7 5 0 0 0]
[8 1 2 0 7 0 8 0 7 8]
[6 3 4 1 5 0 2 2 6 5]
[4 3 5 7 0 4 5 6 7 4]
[0 4 0 4 1 4 2 0 1 5]
[6 0 4 3 8 6 0 4 0 8]
[3 0 4 0 5 1 7 1 6 8]
[3 6 5 7 6 2 3 0 6 0]
[0 0 4 2 2 0 0 7 0 0]
[7 3 1 7 4 0 1 4 8 6]
[0 3 7 5 5 7 3 8 8 6]
[4 8 7 0 7 0 1 4 1 0]
[7 5 2 1 7 0 6 5 6 7]
[5 6 1 3 6 0 4 0 7 4]
[7 6 1 0 0 6 2 2 1 0]
[0 7 3 0 2 4 1 8 4 5]
[0 4 0 6 2 1 7 3 7 7]
[5 3 7 4 5 3 3 1 8 0]
[2 2 7 6 0 1 6 1 2 2]
[0 2 0 7 5 3 6 2 3 1]
[8 0 4 0 6 5 2 0 0 5]
[0 5 2 8 4 2 2 0 4 2]
[0 6 6 5 2 0 0 4 7 7]
[0 0 1 5 8 8 6 7 8 5]
[0 3 0 1 8 3 0 0 0 5]
[0 1 3 5 0 6 2 6 0 5]
[8 6 1 5 2 7 6 2 5 5]
[1 8 7 0 3 2 0 1 1 0]
[0 0 8 6 0 7 1 6 5 6]
[0 1 8 5 1 6 8 3 0 3]
[7 6 0 6 8 6 0 6 3 6]
[0 8 1 8 8 0 3 6 1 8]
[6 0 6 1 6 0 0 4 0 0]
[4 2 8 4 1 6 3 5 4 0]
[1 7 1 0 0 3 3 4 0 0]
[0 8 3 3 5 0 8 6 7 2]
[0 8 7 4 1 8 4 1 1 1]
[3 3 1 5 8 5 7 6 0 2]
[0 6 0 8 0 8 7 7 2 1]
[2 3 0 0 0 2 0 0 4 0]
];
t = [7 12 17 22 27 32];
d = [5 5 5 5 5 5];
