// Auto-generated: 40 orders, seed=42+40
// total demand = 1437, giant order = 348 > Cp = 322 (forced split)
// picking cap = 1610 (12.0% margin) | pod flow = 1872 | repl = 1944
I = 8;
o = 40;
g = 13;
p = 3;
np = 5;
nr = 3;
C = 104;
Cp = 322;
Cr = 108;
w = 6;
se = 3;
demand = [
[44 44 44 44 43 43 43 43]
[0 5 3 5 0 7 2 0]
[3 0 0 6 2 3 4 5]
[0 8 5 5 0 4 4 6]
[0 0 6 7 7 5 4 2]
[8 1 0 6 2 2 8 6]
[8 4 2 0 6 0 7 6]
[5 4 4 7 2 0 0 6]
[5 6 0 8 8 4 0 4]
[5 1 3 3 6 5 5 7]
[0 0 0 0 3 0 2 1]
[8 2 0 7 1 1 4 0]
[8 2 0 5 7 0 0 3]
[1 2 7 2 0 7 4 5]
[6 1 2 8 6 1 1 7]
[2 0 4 8 4 0 0 7]
[3 0 7 1 0 1 6 5]
[4 8 6 0 4 6 7 4]
[0 6 8 2 0 8 5 3]
[7 0 2 0 0 7 3 3]
[2 0 2 1 1 6 3 0]
[5 7 2 3 2 0 4 3]
[0 2 2 6 1 6 5 2]
[5 0 8 6 0 0 2 5]
[0 8 7 3 0 3 5 6]
[7 0 1 3 7 0 2 7]
[0 2 8 5 8 0 6 5]
[0 0 5 7 3 4 0 8]
[6 0 5 7 1 8 8 1]
[2 3 3 2 8 6 0 8]
[1 6 3 0 8 4 0 4]
[0 3 4 0 0 5 5 0]
[1 1 0 4 1 4 2 3]
[2 8 7 5 7 8 0 4]
[4 4 4 3 3 8 4 4]
[2 8 4 0 5 8 1 5]
[5 6 6 4 2 8 1 1]
[5 6 0 8 2 6 0 5]
[6 1 2 5 7 0 0 5]
[2 0 0 8 1 7 7 0]
];
t = [7 12 17 22 27 32];
d = [5 5 5 5 5 5];
